,Neighborhood,Borough,Longitude,Latitude,City
0,Greektown,GREEKTOWN,-87.64712747399994,41.87854486700007,"Chicago, Illinois"
1,Printers Row,PRINTERS ROW,-87.62903477799995,41.87098068300003,"Chicago, Illinois"
2,Millenium Park,MILLENIUM PARK,-87.62037921899997,41.88277433700006,"Chicago, Illinois"
3,Rush & Division,RUSH & DIVISION,-87.62906839999994,41.89923560500006,"Chicago, Illinois"
4,Magnificent Mile,STREETERVILLE,-87.62418781399998,41.89478395700007,"Chicago, Illinois"
5,Boystown,BOYSTOWN,-87.64744676999999,41.94392371500004,"Chicago, Illinois"
6,East Village,UKRAINIAN VILLAGE AND EAST VILLAGE,-87.67227484099999,41.899630107000064,"Chicago, Illinois"
7,Wrigleyville,WRIGLEYVILLE,-87.65910112499995,41.950593086000026,"Chicago, Illinois"
8,Andersonville,ANDERSONVILLE,-87.66786455299996,41.97985392900006,"Chicago, Illinois"
9,Grant Park,GRANT PARK,-87.62083653299999,41.874297924000075,"Chicago, Illinois"
10,Sheffield & DePaul,SHEFFIELD & DEPAUL,-87.65367040899997,41.92718791400006,"Chicago, Illinois"
11,Ukrainian Village,UKRAINIAN VILLAGE AND EAST VILLAGE,-87.68450744099994,41.899427529000036,"Chicago, Illinois"
12,Gold Coast,GOLD COAST,-87.62710434499996,41.90600623900008,"Chicago, Illinois"
13,Chinatown,"ARMOUR SQUARE,CHINATOWN",-87.63518576499996,41.851733430000024,"Chicago, Illinois"
14,Old Town,OLD TOWN,-87.63978428699994,41.91137019100006,"Chicago, Illinois"
15,Burnside,"CHATHAM,BURNSIDE",-87.59647566799998,41.72818223500008,"Chicago, Illinois"
16,Oakland,"OAKLAND,KENWOOD",-87.60238855599994,41.823774842000034,"Chicago, Illinois"
17,Wicker Park,"WICKER PARK,WEST TOWN",-87.67986056499996,41.90868483100007,"Chicago, Illinois"
18,Montclare,"MONTCLARE, GALEWOOD",-87.79803967099997,41.92931340200005,"Chicago, Illinois"
19,United Center,UNITED CENTER,-87.67913594399994,41.88196514900005,"Chicago, Illinois"
20,Kenwood,"KENWOOD,OAKLAND",-87.59618357899996,41.808916371000066,"Chicago, Illinois"
21,Armour Square,"ARMOUR SQUARE,CHINATOWN",-87.63322224499996,41.83609103900005,"Chicago, Illinois"
22,Galewood,"MONTCLARE, GALEWOOD",-87.79279468599998,41.91418659000004,"Chicago, Illinois"
23,Fuller Park,BACK OF THE YARDS,-87.63242456999996,41.809085485000026,"Chicago, Illinois"
24,Mckinley Park,"BRIGHTON PARK,MCKINLEY PARK",-87.67250269999994,41.82992225300006,"Chicago, Illinois"
25,Edison Park,EDISON PARK,-87.81378102799994,42.00761315300008,"Chicago, Illinois"
26,Bucktown,BUCKTOWN,-87.67878488199995,41.921687176000034,"Chicago, Illinois"
27,West Elsdon,"ARCHER HEIGHTS,WEST ELSDON",-87.72420790399997,41.79298198600003,"Chicago, Illinois"
28,Near South Side,NEAR SOUTH SIDE,-87.62389193399997,41.85629570400005,"Chicago, Illinois"
29,Hermosa,"BELMONT CRAIGIN,HERMOSA",-87.73474015999994,41.92434775800007,"Chicago, Illinois"
30,Avalon Park,"AVALON PARK,CALUMET HEIGHTS",-87.58634883499997,41.744199680000065,"Chicago, Illinois"
31,Hyde Park,HYDE PARK,-87.59391394599999,41.79482494900003,"Chicago, Illinois"
32,Washington Park,WASHINGTON PARK,-87.61793123299998,41.792357569000046,"Chicago, Illinois"
33,Grand Boulevard,BRONZEVILLE,-87.61785969099998,41.81294936000006,"Chicago, Illinois"
34,Woodlawn,WOODLAWN,-87.60168604699999,41.77878715000003,"Chicago, Illinois"
35,Douglas,BRONZEVILLE,-87.61867772099998,41.83511834300003,"Chicago, Illinois"
36,Edgewater,EDGEWATER,-87.66231984299998,41.98840332900005,"Chicago, Illinois"
37,North Center,NORTH CENTER,-87.68383517999996,41.94779237400007,"Chicago, Illinois"
38,River North,RIVER NORTH,-87.64132343799997,41.89901512900008,"Chicago, Illinois"
39,Archer Heights,"ARCHER HEIGHTS,WEST ELSDON",-87.72636283899999,41.81087957200003,"Chicago, Illinois"
40,Gage Park,"MARQUETTE PARK,GAGE PARK",-87.69643520899996,41.79543062700003,"Chicago, Illinois"
41,Bridgeport,BRIDGEPORT,-87.64878824799996,41.83615066200008,"Chicago, Illinois"
42,Jackson Park,JACKSON PARK,-87.57995275599995,41.78185375700008,"Chicago, Illinois"
43,Calumet Heights,"AVALON PARK,CALUMET HEIGHTS",-87.57271771099994,41.72967612800005,"Chicago, Illinois"
44,Rogers Park,ROGERS PARK,-87.67016729399995,42.00962337900006,"Chicago, Illinois"
45,Avondale,"IRVING PARK,AVONDALE",-87.71121063799995,41.93866588900005,"Chicago, Illinois"
46,Museum Campus,MUSEUM CAMPUS,-87.61671289099996,41.86303199100007,"Chicago, Illinois"
47,Pullman,PULLMAN,-87.59825466699994,41.706127063000054,"Chicago, Illinois"
48,Logan Square,LOGAN SQUARE,-87.70738933199999,41.92319340600005,"Chicago, Illinois"
49,Brighton Park,"BRIGHTON PARK,MCKINLEY PARK",-87.69886064399998,41.81736680000006,"Chicago, Illinois"
50,"Little Italy, UIC","LITTLE ITALY, UIC",-87.66775674299998,41.867539029000056,"Chicago, Illinois"
51,Lincoln Square,LINCOLN SQUARE,-87.69043921699995,41.972232502000054,"Chicago, Illinois"
52,Albany Park,"NORTH PARK,ALBANY PARK",-87.72155978399996,41.96806846700008,"Chicago, Illinois"
53,Chicago Lawn,"MARQUETTE PARK,GAGE PARK",-87.69566636399998,41.771849160000045,"Chicago, Illinois"
54,Streeterville,STREETERVILLE,-87.61763598899995,41.89352564600006,"Chicago, Illinois"
55,North Park,"NORTH PARK,ALBANY PARK",-87.72358281799995,41.983636456000056,"Chicago, Illinois"
56,West Lawn,WEST LAWN,-87.72692933399998,41.76977903200003,"Chicago, Illinois"
57,Chatham,"CHATHAM,BURNSIDE",-87.61596995999997,41.74020600100005,"Chicago, Illinois"
58,Washington Heights,"WASHINGTON HEIGHTS,ROSELAND",-87.64889548799994,41.71749388400008,"Chicago, Illinois"
59,West Ridge,WEST RIDGE,-87.69501265899999,42.00157214700005,"Chicago, Illinois"
60,Lower West Side,LOWER WEST SIDE,-87.67484429399997,41.848385834000055,"Chicago, Illinois"
61,Belmont Cragin,"BELMONT CRAGIN,HERMOSA",-87.76550183499995,41.92726074300003,"Chicago, Illinois"
62,West Loop,WEST LOOP,-87.65892866599995,41.88227428300007,"Chicago, Illinois"
63,Jefferson Park,JEFFERSON PARK,-87.77116691799995,41.978829983000026,"Chicago, Illinois"
64,South Shore,"SOUTH SHORE, GRAND CROSSING",-87.57278271499996,41.76157779700003,"Chicago, Illinois"
65,Garfield Park,GARFIELD PARK,-87.71565903199996,41.87878628200008,"Chicago, Illinois"
66,Beverly,BEVERLY,-87.67507504899999,41.71314972700003,"Chicago, Illinois"
67,North Lawndale,NORTH LAWNDALE,-87.71721947399999,41.86018959300003,"Chicago, Illinois"
68,Clearing,MIDWAY AIRPORT,-87.76851103199994,41.779581491000044,"Chicago, Illinois"
69,Humboldt Park,HUMBOLDT PARK,-87.71650688599999,41.90088897600003,"Chicago, Illinois"
70,Morgan Park,"MOUNT GREENWOOD,MORGAN PARK",-87.66905398699998,41.689729587000045,"Chicago, Illinois"
71,Riverdale,RIVERDALE,-87.60284873299997,41.66013747100004,"Chicago, Illinois"
72,Portage Park,PORTAGE PARK,-87.76339991099996,41.95402816300003,"Chicago, Illinois"
73,Auburn Gresham,AUBURN GRESHAM,-87.65630678699995,41.74420543800005,"Chicago, Illinois"
74,West Town,"WICKER PARK,WEST TOWN",-87.65246388599996,41.89456210000003,"Chicago, Illinois"
75,Uptown,UPTOWN,-87.65587931899995,41.965812079000045,"Chicago, Illinois"
76,New City,BACK OF THE YARDS,-87.65916684499996,41.80901852400007,"Chicago, Illinois"
77,Mount Greenwood,"MOUNT GREENWOOD,MORGAN PARK",-87.71319185799996,41.69487944300005,"Chicago, Illinois"
78,Irving Park,"IRVING PARK,AVONDALE",-87.72345248199997,41.95358182000007,"Chicago, Illinois"
79,West Pullman,WEST PULLMAN,-87.63574016599995,41.673820051000064,"Chicago, Illinois"
80,Little Village,LITTLE VILLAGE,-87.71400209599994,41.839087009000025,"Chicago, Illinois"
81,East Side,SOUTHEAST SIDE,-87.53490233799994,41.70731396300005,"Chicago, Illinois"
82,South Chicago,SOUTH CHICAGO,-87.55142918499996,41.74124281600007,"Chicago, Illinois"
83,Loop,LOOP,-87.62933075299998,41.880978896000045,"Chicago, Illinois"
84,Grand Crossing,"SOUTH SHORE, GRAND CROSSING",-87.61613416899996,41.76324707400005,"Chicago, Illinois"
85,Dunning,DUNNING,-87.80601984499998,41.94651066400007,"Chicago, Illinois"
86,Ashburn,ASHBURN,-87.70836548799997,41.74575691500007,"Chicago, Illinois"
