,Neighborhood,Borough,Longitude,Latitude,City
0,Merced Manor,District 3 - Southwest,-122.47848975999995,37.73289811600006,"San Francisco, California"
1,Monterey Heights,District 4 - Twin Peaks West,-122.46120047599999,37.73268986700003,"San Francisco, California"
2,Balboa Terrace,District 4 - Twin Peaks West,-122.46845959699999,37.731391074000044,"San Francisco, California"
3,Anza Vista,District 6 - Central North,-122.44335277599998,37.78100556800007,"San Francisco, California"
4,Alamo Square,District 6 - Central North,-122.43446523499995,37.77656580100006,"San Francisco, California"
5,Clarendon Heights,District 5 - Central,-122.44890803799996,37.75840857800006,"San Francisco, California"
6,Westwood Highlands,District 4 - Twin Peaks West,-122.45629885099999,37.73384835200005,"San Francisco, California"
7,Merced Heights,District 3 - Southwest,-122.46754273999994,37.71977157500004,"San Francisco, California"
8,Tenderloin,District 8 - Northeast,-122.41430875399999,37.783371653000074,"San Francisco, California"
9,Sherwood Forest,District 4 - Twin Peaks West,-122.458424907,37.73719144000006,"San Francisco, California"
10,Forest Hills Extension,District 4 - Twin Peaks West,-122.45808501399995,37.744180467000035,"San Francisco, California"
11,Mount Davidson Manor,District 4 - Twin Peaks West,-122.46333940499994,37.72814676000007,"San Francisco, California"
12,Duboce Triangle,District 5 - Central,-122.43241540999998,37.76712946500004,"San Francisco, California"
13,North Beach,District 8 - Northeast,-122.41186658799995,37.80209835200003,"San Francisco, California"
14,Westwood Park,District 4 - Twin Peaks West,-122.45609766199999,37.727444510000055,"San Francisco, California"
15,Little Hollywood,District 10 - Southeast,-122.39957548299998,37.71089641700007,"San Francisco, California"
16,Bayview Heights,District 10 - Southeast,-122.39683414599995,37.719528886000035,"San Francisco, California"
17,Telegraph Hill,District 8 - Northeast,-122.40639524699998,37.800886010000056,"San Francisco, California"
18,Sea Cliff,District 1 - Northwest,-122.48904080699998,37.78687071000007,"San Francisco, California"
19,Jordan Park / Laurel Heights,District 1 - Northwest,-122.452722027,37.78415326500004,"San Francisco, California"
20,Oceanview,District 3 - Southwest,-122.45773935499994,37.71468826100005,"San Francisco, California"
21,Forest Hill,District 4 - Twin Peaks West,-122.46351817499999,37.747799747000045,"San Francisco, California"
22,Corona Heights,District 5 - Central,-122.44037848399995,37.76327918900006,"San Francisco, California"
23,Ingleside Terrace,District 4 - Twin Peaks West,-122.46829759199994,37.72507703400004,"San Francisco, California"
24,Lone Mountain,District 1 - Northwest,-122.45302357799994,37.77839613500004,"San Francisco, California"
25,Ingleside Heights,District 3 - Southwest,-122.46753300799998,37.71380926000006,"San Francisco, California"
26,Saint Francis Wood,District 4 - Twin Peaks West,-122.46575251499996,37.736178222000035,"San Francisco, California"
27,Buena Vista Park/Ashbury Heights,District 5 - Central,-122.44188665499996,37.76796516200005,"San Francisco, California"
28,Presidio Heights,District 7 - North,-122.45438645999997,37.788455344000056,"San Francisco, California"
29,Mission Dolores,District 5 - Central,-122.42504459099996,37.76422020700005,"San Francisco, California"
30,Nob Hill,District 8 - Northeast,-122.41542154899997,37.79399956200007,"San Francisco, California"
31,Cole Valley/Parnassus Heights,District 5 - Central,-122.45188645099995,37.76386012200004,"San Francisco, California"
32,Pine Lake Park,District 3 - Southwest,-122.48516996999996,37.735790218000034,"San Francisco, California"
