Neighborhood,LONGITUDE,LATITUDE,OBJECTID,Shape__Area,Shape__Length
Agincourt North ,-79.26671217,43.80544058,16492689,13951450.04,17159.74067
Agincourt South-Malvern West ,-79.2656118,43.78865755,16492705,15117359.77,21320.84955
Alderwood ,-79.54161093,43.6049369,16492721,9502179.582,12667.01392
Annex ,-79.40400062,43.67158544,16492737,5337191.832,10513.88314
Banbury-Don Mills ,-79.34971798,43.737657,16492753,19248965.98,25141.57229
Bathurst Manor ,-79.45605516,43.76481331,16492769,9133974.176,20183.92584
Bay Street Corridor ,-79.38572125,43.65751135,16492785,3459075.199,9594.336045
Bayview Village ,-79.37711686,43.77636052,16492801,9902532.77,13169.02019
Bayview Woods-Steeles ,-79.38211795,43.79680187,16492817,7853671.18,11439.16613
Bedford Park-Nortown ,-79.42022735,43.73148623,16492833,10576259.86,17755.85756
Beechborough-Greenbrook ,-79.47947251,43.69321649,16492849,3509860.168,8866.793417
Bendale ,-79.25740037,43.76036631,16492865,14303503.56,18255.1485
Birchcliffe-Cliffside ,-79.26509259,43.69468198,16492881,11501889.5,20339.56678
Black Creek ,-79.52197932,43.76489025,16492897,6627277.594,11691.72702
Blake-Jones ,-79.33739417,43.67617288,16492913,1800511.672,5592.469803
Briar Hill-Belgravia ,-79.4528513,43.69902438,16492929,3504255.238,8697.301526
Bridle Path-Sunnybrook-York Mills ,-79.37890418,43.73101314,16492945,16939139.39,21666.01837
Broadview North ,-79.35562951,43.68882512,16492961,3341473.035,9933.014855
Brookhaven-Amesbury ,-79.48558926,43.70132631,16492977,6715561.504,12417.05556
Cabbagetown-South St.James Town ,-79.36610666,43.66764773,16492993,2711741.59,7962.83306
Caledonia-Fairbank ,-79.45521208,43.68856865,16493009,2955857.488,6849.911724
Casa Loma ,-79.40800665,43.6818521,16493025,3678384.543,8214.176485
Centennial Scarborough ,-79.15084327,43.7823765,16493041,10496773.15,16683.67497
Church-Yonge Corridor ,-79.37901717,43.65964886,16493057,2609013.938,8785.416375
Clairlea-Birchmount ,-79.28138178,43.71359238,16493073,14168539.26,22824.27875
Clanton Park ,-79.44630258,43.74197843,16493089,7942401.598,14050.03686
Cliffcrest ,-79.23552957,43.72112117,16493105,13777192.72,27614.93338
