Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Lawrence Fish Market,41.968279822453226,-87.7262500589637,Seafood Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Chicago Kalbi Korean BBQ,41.96831405309238,-87.72277090471877,Korean Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Hiromi's Oriental Restaurant,41.968144,-87.718719,Karaoke Bar
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Starbucks,41.96891084604478,-87.72881662266137,Coffee Shop
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,El Gallo Bravo #6,41.968323604495446,-87.7213380367113,Mexican Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Nighthawk,41.96797445401382,-87.71341511757156,Cocktail Bar
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Eugene Field Park,41.9742744061275,-87.72214632479077,Park
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Peking Mandarin Resturant,41.96829199927995,-87.71578270440223,Chinese Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Chicago Produce,41.97055281291674,-87.7163271937518,Grocery Store
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Great Sea Chinese Restaurant,41.96849636464853,-87.71067780634868,Chinese Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Rojo Gusano,41.9684246,-87.7245494,Taco Place
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Ssyal Korean Restaurant and Ginseng House,41.968172423082585,-87.73320681696389,Korean Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Cairo Nights Hookah Lounge,41.97577557890347,-87.71554727194713,Hookah Bar
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Popeyes Louisiana Kitchen,41.96875578368875,-87.7130188002769,Fried Chicken Joint
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Marie's Pizza & Liquors,41.968131872106134,-87.73153256320425,Pizza Place
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Pollo Campero,41.968968147627166,-87.72886572976876,Fried Chicken Joint
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Gamblers,41.97039755571879,-87.72828883864773,Dive Bar
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,T-Mobile,41.96919145897981,-87.72902436559889,Mobile Phone Shop
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Dunkin',41.967933154627225,-87.72969890980437,Donut Shop
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Hot Dog Station,41.96788049436943,-87.71340399943855,Hot Dog Joint
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Dollar Tree,41.97053046042121,-87.72819486704259,Discount Store
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Las Delicias,41.9611,-87.728181,Latin American Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Taste Of Thai Town,41.962720000000004,-87.727491,Thai Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Markellos Baking Company,41.96860155803638,-87.71660731497109,Bakery
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Ruby's Fast Food,41.96105341369155,-87.72213644727968,Asian Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Petco,41.96929702727842,-87.72858386963954,Pet Store
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Banpojung,41.975706809962226,-87.7156087405049,Korean Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Walgreens,41.9685113,-87.7288592,Pharmacy
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Ruk Sushi & Thai,41.966650142735695,-87.71356381044562,Sushi Restaurant
"Albany Park, Chicago, Illinois",41.96806846700008,-87.72155978399996,Chen's Garden,41.96207112508216,-87.7276378537196,Chinese Restaurant
