Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"University Park , Dallas, TX",32.846265,-96.790745,Bandito's Tex Mex Cantina,32.84709291013927,-96.7880432615377,Mexican Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Kuby's Sausage House,32.84692846951237,-96.7880362178473,German Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Bubba's Cooks Country,32.84738082260146,-96.78702102956603,Fried Chicken Joint
"University Park , Dallas, TX",32.846265,-96.790745,Nekter Juice Bar,32.847968,-96.787629,Juice Bar
"University Park , Dallas, TX",32.846265,-96.790745,Half Shells Oyster Bar & Grill,32.8471499377802,-96.78801709251763,Seafood Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Snider Plaza,32.84857302719574,-96.78773977278733,Shopping Mall
"University Park , Dallas, TX",32.846265,-96.790745,Crème de la Cookie,32.84778602936899,-96.78768910777858,Bakery
"University Park , Dallas, TX",32.846265,-96.790745,Penne Pomodoro,32.84877,-96.78828,Italian Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,East Hampton Sandwich Co.,32.84973911127795,-96.78772696829023,New American Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,BEYOND Pedaling,32.84877066682317,-96.78774746900332,Gym / Fitness Center
"University Park , Dallas, TX",32.846265,-96.790745,Dive Coastal Cuisine,32.84945904540532,-96.78745598408257,Seafood Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,JD's Chippery,32.84673224727058,-96.78716934021216,Bakery
"University Park , Dallas, TX",32.846265,-96.790745,University Park Pool,32.85064313836115,-96.79086341535447,Pool
"University Park , Dallas, TX",32.846265,-96.790745,Jimmy John's,32.84430514132044,-96.78735188814507,Sandwich Place
"University Park , Dallas, TX",32.846265,-96.790745,Starbucks,32.84835398621029,-96.78705637143227,Coffee Shop
"University Park , Dallas, TX",32.846265,-96.790745,Burger House,32.84971721387863,-96.78712524287143,Burger Joint
"University Park , Dallas, TX",32.846265,-96.790745,Chick-fil-A,32.8447263,-96.7874872,Fast Food Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Lync Cycling,32.8487606381864,-96.78775895096491,Cycle Studio
"University Park , Dallas, TX",32.846265,-96.790745,Amore Italian Restaurant,32.8500635,-96.7881702,Italian Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Goar Park,32.84618588439415,-96.79752134264653,Field
"University Park , Dallas, TX",32.846265,-96.790745,McFarlin Auditorium,32.844180087249455,-96.78616036491316,College Auditorium
"University Park , Dallas, TX",32.846265,-96.790745,Olivella's,32.84402101637123,-96.7876715055572,Pizza Place
"University Park , Dallas, TX",32.846265,-96.790745,Digg's Taco Shop,32.84303197872834,-96.78730022193652,Taco Place
"University Park , Dallas, TX",32.846265,-96.790745,Supercuts,32.847736924845705,-96.7870212578364,Salon / Barbershop
"University Park , Dallas, TX",32.846265,-96.790745,Yumilicious Frozen Yogurt,32.84745080212455,-96.78811460967965,Frozen Yogurt Shop
"University Park , Dallas, TX",32.846265,-96.790745,Peggy Sue BBQ,32.84681264043279,-96.78752322261879,BBQ Joint
"University Park , Dallas, TX",32.846265,-96.790745,Curtis Park,32.85060557119166,-96.79195404052734,Playground
"University Park , Dallas, TX",32.846265,-96.790745,Zoës Kitchen,32.84858646800115,-96.78763156110818,Mediterranean Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Food From Galilee,32.847922032036585,-96.78762301532687,Mediterranean Restaurant
"University Park , Dallas, TX",32.846265,-96.790745,Williams Park,32.84502786790505,-96.79847342439398,Park
