Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Battery Park City Esplanade,40.71162184551406,-74.01790738105774,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,"Waterfront Plaza, Brookfield Place",40.71324098127375,-74.01624118660538,Plaza
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Hudson Eats,40.712665971481435,-74.0159010887146,Food Court
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Equinox Brookfield Place,40.712704,-74.014995,Gym
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Brookfield Place (BFPL),40.71324018931094,-74.01519298553465,Shopping Mall
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Institute of Culinary Education,40.71239942610876,-74.01597072237516,Cooking School
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,9/11 Memorial North Pool,40.71207726282092,-74.01318669319153,Memorial Site
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Le District,40.71287830177591,-74.01563286781311,Food Court
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Liberty Park,40.71038391621699,-74.01386844682942,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,National September 11 Memorial & Museum (National September 11 Memorial),40.711349,-74.013197,Memorial Site
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,One World Trade Center,40.71306941116871,-74.01313304901123,Building
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,9/11 Memorial South Pool,40.711039,-74.013082,Memorial Site
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Kowsky Plaza Playground,40.712012,-74.017397,Playground
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Winter Garden Atrium,40.713308335330886,-74.01584201849887,Performing Arts Venue
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Hudson River Trail,40.71366880565693,-74.01742037283613,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,One World Observatory,40.712819,-74.013274,Scenic Lookout
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Num Pang Sandwich Shop,40.71272662965214,-74.01603156747436,Sandwich Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,9/11 Museum Auditorium,40.711859516489525,-74.01281437966045,Auditorium
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Irish Hunger Memorial,40.71513873128946,-74.01655655956712,Monument / Landmark
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Regal Battery Park,40.71500399534887,-74.01493484218707,Movie Theater
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Starbucks Reserve,40.71417,-74.015434,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Conrad New York Downtown,40.7150355,-74.0158397,Hotel
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Oculus Plaza,40.711821657420536,-74.01163247839355,Plaza
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Shake Shack,40.71532572032048,-74.01475032559945,Burger Joint
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Olive's,40.713199644315836,-74.0158572540602,Sandwich Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Eataly Downtown,40.710075,-74.011976,Gourmet Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Blue Bottle Coffee,40.7105890125794,-74.012371301651,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Victoria's Secret,40.71067911299145,-74.01170712103871,Lingerie Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Asphalt Green Battery Park City,40.715923644223366,-74.01467345576101,Athletics & Sports
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Apple World Trade Center,40.711761,-74.0115696,Electronics Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,O'Hara's Restaurant & Pub,40.70989378141622,-74.01283563128297,Pub
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,South Cove Park,40.7072926419875,-74.01822309070197,Plaza
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Westfield World Trade Center,40.71160151431165,-74.01136815547943,Shopping Mall
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Nelson A. Rockefeller Park,40.717094779422354,-74.01671648025513,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Morton's The Steakhouse,40.70970051946106,-74.01395380496979,Steakhouse
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Teardrop Park,40.716843120089855,-74.01557592134671,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Juice Press,40.71478769908051,-74.0111317502157,Vegetarian / Vegan Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,North End Ave Dog Run,40.71687589247016,-74.01614906976579,Dog Run
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Battery Park Dog Run,40.70735207639932,-74.0161513538686,Dog Run
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Greenwich St Jewelers,40.70800437019543,-74.0128005461096,Jewelry Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,SoulCycle TriBeCa,40.71617819906241,-74.0130073837599,Cycle Studio
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,For Five Coffee Roasters,40.709554,-74.010576,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Whole Foods Market,40.715579155420606,-74.01136823958119,Grocery Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Four Seasons Hotel New York Downtown,40.71261246501983,-74.00938032087628,Hotel
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Kaffe 1668,40.71504512558996,-74.0115087102821,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Lekka Burger,40.715246,-74.010559,Burger Joint
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Nobu Downtown,40.71053208431402,-74.00959253311157,Japanese Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,The Palm,40.71634835194827,-74.01299813037697,Steakhouse
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Barnes & Noble,40.715605333147145,-74.01178633208771,Bookstore
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,The Class by Taryn Toomey,40.71275251771485,-74.00873355601571,Gym / Fitness Center
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,La Pasta Fresca,40.709533,-74.012207,Grocery Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Korin,40.71482437714839,-74.00940425461492,Furniture / Home Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Equinox Tribeca,40.71409860726041,-74.0096857179283,Gym
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Mulberry & Vine,40.71517693966315,-74.01022747778285,Café
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Boundless Plains Espresso,40.70799,-74.013894,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Takahachi Bakery,40.713652845301894,-74.0088038953017,Bakery
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Los Tacos No. 1,40.714267,-74.008756,Taco Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,North Meadow,40.718136741496245,-74.01673364447183,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Shake Shack,40.71070286896417,-74.00902390480042,Burger Joint
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,The Wooly Daily,40.71213724343698,-74.00839457685005,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,La Parisienne,40.70942332606939,-74.00999194450296,French Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Washington Market Park,40.71704598853704,-74.01109457015991,Playground
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Anthropologie,40.710618156588524,-74.00966144835125,Women's Store
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,"Robert F. Wagner, Jr. Park",40.70525489877921,-74.01843601642805,Park
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Church Street Boxing Gym,40.713353574017404,-74.00906676030888,Boxing Gym
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Frankly Wines,40.71447694276293,-74.0100388662148,Wine Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Equinox Wall Street,40.70727326752029,-74.01054311858566,Gym
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Tribeca Performing Arts Center,40.7175939490532,-74.01219801457627,Performing Arts Venue
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Tribeca Greenmarket,40.716802033574126,-74.01087999343872,Farmers Market
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,West Bank Gourmet,40.706633602091976,-74.01552667196661,Gourmet Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Pisillo Italian Panini,40.710530084460785,-74.00752571804911,Sandwich Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Joe’s Pizza,40.71031775378812,-74.00769390169111,Pizza Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Restaurant Marc Forgione,40.71637984317071,-74.00962933453428,New American Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Blue Bottle,40.70653,-74.011099,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Manhatta,40.70765446542056,-74.00913779853676,New American Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Inatteso Cafe Casano,40.70633502780245,-74.01645725675446,Café
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,The Bar Room at Temple Court,40.7114477287544,-74.00680157032005,Hotel Bar
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Sticky's Finger Joint,40.70930873620126,-74.00901602883607,Fried Chicken Joint
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Zucker's Bagels & Smoked Fish,40.71558,-74.00985,Bagel Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Nish Nush,40.709418,-74.008056,Falafel Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Residence Inn by Marriott New York Downtown Manhattan/World Trade Center Area,40.7095628,-74.0097181,Hotel
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Laughing Man Coffee & Tea,40.7173944529165,-74.01010324607125,Coffee Shop
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Museum of Jewish Heritage,40.70592151884575,-74.0179969704916,History Museum
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,"The Beekman, A Thompson Hotel",40.7111725,-74.0067017,Hotel
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Little Park,40.715486585249735,-74.00913313510836,American Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Vin Sur Vingt,40.71472116796839,-74.0098318196665,Wine Bar
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Neapolitan Express,40.70690829999999,-74.0096853,Pizza Place
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Chick-fil-A,40.7104194,-74.0085499,Fast Food Restaurant
"Battery Park City, Manhattan, New York",40.71193198394565,-74.01686930508617,Gigino at Wagner Park,40.70498427289225,-74.0183273695266,Italian Restaurant
