,Neighborhood,Longitude,Latitude,Postal Code
0,Agincourt North,-79.266712166,43.8054405769,M1S
1,Agincourt South-Malvern West,-79.2656117966,43.788657551099995,M1S
2,Alamo Square,-122.43446523499996,37.77656580100006,94117
3,Albany Park,-87.72155978399996,41.96806846700008,60625
4,Alderwood,-79.5416109273,43.6049368959,M8W
5,Andersonville,-87.66786455299996,41.979853929000065,60640
6,Annex,-79.4040006243,43.6715854351,M5R
7,Anza Vista,-122.44335277599998,37.78100556800007,94115
8,Archer Heights,-87.72636283899998,41.81087957200003,60632
9,Armour Square,-87.63322224499996,41.836091039000046,60616
10,Ashburn,-87.70836548799997,41.74575691500007,60652
11,Auburn Gresham,-87.65630678699995,41.744205438000044,60620
12,Austin,-87.75800980499996,41.890650003000076,60644
13,Avalon Park,-87.58634883499997,41.74419968000007,60619
14,Avondale,-87.71121063799995,41.93866588900005,60618
15,Balboa Terrace,-122.468459597,37.73139107400005,94127
16,Banbury-Don Mills,-79.3497179808,43.737657004300004,M3B
17,Bathurst Manor,-79.4560551588,43.7648133077,M3H
18,Battery Park City,-74.01686930508617,40.71193198394565,
19,Bay Street Corridor,-79.3857212509,43.6575113467,M5G
20,Bayview,-122.38527163799995,37.720777284000064,94124
21,Bayview Heights,-122.39683414599995,37.719528886000035,94124
22,Bayview Village,-79.3771168597,43.7763605236,M2K
23,Bayview Woods-Steeles,-79.3821179542,43.7968018666,M2H
24,Bedford Park-Nortown,-79.4202273481,43.731486231800005,M5M
25,Beechborough-Greenbrook,-79.4794725057,43.6932164866,M6M
26,Belmont Cragin,-87.76550183499997,41.92726074300003,60639
27,Bendale,-79.2574003723,43.7603663086,M1P
28,Bernal Heights,-122.41641020899999,37.739839836000044,94110
29,Beverly,-87.67507504899997,41.71314972700003,60643
30,Birchcliffe-Cliffside,-79.2650925923,43.694681978599995,M1N
31,Black Creek,-79.5219793188,43.7648902472,M3N
32,Blake-Jones,-79.3373941732,43.67617287979999,M4J
33,Boystown,-87.64744676999999,41.94392371500004,60657
34,Briar Hill-Belgravia,-79.4528512962,43.699024381,M6E
35,Bridgeport,-87.64878824799996,41.83615066200008,60608
36,Bridle Path-Sunnybrook-York Mills,-79.3789041759,43.7310131378,M3C
37,Brighton Park,-87.69886064399998,41.81736680000006,60632
38,Broadview North,-79.3556295118,43.688825119200004,M4K
39,Brookhaven-Amesbury,-79.485589259,43.701326305600006,M6M
40,Bucktown,-87.67878488199995,41.921687176000034,60647
41,Buena Vista Park/Ashbury Heights,-122.44188665499996,37.767965162000046,94117
42,Burnside,-87.596475668,41.72818223500008,60619
43,Cabbagetown-South St. James Town,-79.36610665810001,43.667647727399995,M4X
44,Caledonia-Fairbank,-79.4552120796,43.688568651000004,M6E
45,Calumet Heights,-87.57271771099995,41.729676128000044,60617
46,Candlestick Point,-122.386528453,37.71357948100007,
47,Carnegie Hill,-73.95325646837112,40.782682567125704,10128
48,Casa Loma,-79.4080066472,43.6818521005,M5R
49,Centennial Scarborough,-79.1508432723,43.7823764958,M1C
50,Central Harlem,-73.94321112603905,40.81597606742414,10030
51,Central Richmond,-122.48213126799999,37.77823151600006,94121
52,Central Sunset,-122.48626185299996,37.75847995200007,94122
53,Central Waterfront/Dogpatch,-122.38636974899998,37.75700020200003,94107
54,Chatham,-87.61596995999996,41.74020600100005,60619
55,Chelsea,-74.00311633472813,40.744034706747975,10011
56,Chicago Lawn,-87.69566636399998,41.771849160000045,60629
57,Chinatown,-87.63518576499996,41.85173343000002,60616
58,Chinatown,-73.99427936255978,40.71561842231432,10002
59,Church-Yonge Corridor,-79.3790171666,43.6596488635,M5B
60,Civic Center,-74.00541529873355,40.71522892046282,10278
61,Clairlea-Birchmount,-79.28138178420002,43.713592375,M1L
62,Clanton Park,-79.4463025758,43.7419784331,M3H
63,Clarendon Heights,-122.44890803799996,37.758408578000065,94114
64,Clearing,-87.76851103199994,41.779581491000044,60638
65,Cliffcrest,-79.2355295687,43.7211211669,M1M
66,Clinton,-73.99611936309479,40.75910089146212,10036
67,Cole Valley/Parnassus Heights,-122.45188645099995,37.76386012200004,94117
68,Corona Heights,-122.44037848399996,37.763279189000066,94114
69,Corso Italia-Davenport,-79.4474693307,43.6776609067,M6E
70,Cow Hollow,-122.43599973,37.798053037000045,94123
71,Crocker Amazon,-122.43900923700001,37.71180488800008,94112
72,Danforth,-79.32981940890001,43.6840254743,M4J
73,Danforth East York,-79.3314033847,43.6894680941,M4J
74,Diamond Heights,-122.44288652499996,37.74293485500005,94131
75,Don Valley Village,-79.3536441306,43.783293686899995,M2J
76,Dorset Park,-79.2789079388,43.759274372700006,M1P
77,Douglas,-87.61867772099998,41.83511834300003,60616
78,Dovercourt-Wallace Emerson-Junction,-79.4385406986,43.6656769317,M6H
79,Downsview-Roding-CFB,-79.4904973518,43.7332923453,M3M
80,Downtown,-122.411989007,37.788739255000046,94102
81,Duboce Triangle,-122.43241540999998,37.76712946500004,94114
82,Dufferin Grove,-79.4373410365,43.6554283326,M6H
83,Dunning,-87.80601984499998,41.94651066400007,60634
84,East End-Danforth,-79.2993586723,43.684173877700005,M4E
85,East Harlem,-73.94418223148523,40.79224946663033,10029
86,East Side,-87.53490233799994,41.70731396300005,60617
87,East Village,-87.67227484099999,41.899630107000064,60622
88,East Village,-73.98222616506415,40.727846777270244,10009
