Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Menchie's,43.80833791536094,-79.26828825119229,Frozen Yogurt Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Saravanaa Bhavan South Indian Restaurant,43.81011674776289,-79.26927478027933,Indian Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Samosa King - Embassy Restaurant,43.81015178654958,-79.25731635003477,Indian Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Shoppers Drug Mart,43.808894,-79.269854,Pharmacy
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Booster Juice,43.80991481104798,-79.26938167887475,Juice Bar
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Grandeur Palace 華丽宮 (Grandeur Palace 華麗宮),43.79788486462263,-79.27058461606062,Chinese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Dollarama,43.808894,-79.269854,Discount Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Congee Town 太皇名粥,43.80903482487377,-79.26763433869755,Chinese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Subway,43.80937220230191,-79.2694738316909,Sandwich Place
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Popeyes Louisiana Kitchen,43.80865177635264,-79.2679286798945,Fried Chicken Joint
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,TD Canada Trust,43.8098283,-79.2687635,Bank
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Tim Hortons,43.8099935,-79.2690319,Coffee Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Aromaz Cake and Pastry 龍騰閣,43.79771416449893,-79.27087037611898,Bakery
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,RBC Royal Bank,43.80875655318293,-79.26927968859673,Bank
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Pizza Pizza,43.80831774036611,-79.26853687580636,Pizza Place
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,The Beer Store,43.8092863,-79.2636758,Beer Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Wild Wing,43.80879900043356,-79.26780785019103,Wings Joint
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Subway,43.7975399971713,-79.27209564010174,Sandwich Place
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Shoppers Drug Mart,43.797533,-79.272498,Pharmacy
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Xe Lua Vietnamese Cuisine 火車頭,43.809224039056005,-79.26954724166934,Vietnamese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Woodside Cinemas,43.80990026145251,-79.26952068181036,Movie Theater
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,A Little One Newborn Studio,43.8038572,-79.2634549,Photography Studio
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Pizza Pizza,43.79795018655581,-79.27272980382398,Pizza Place
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Le Château,43.808635288928365,-79.26829717339312,Clothing Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Kin Kin Bubble Tea Co,43.807851553703514,-79.27029551638599,Chinese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,LCBO,43.808125688695895,-79.27004592050454,Liquor Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Smokers Corner Newstand,43.808624242713506,-79.2694367295796,Convenience Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Chartwell Shopping Centre 集友商場,43.797767967729726,-79.27085281236347,Shopping Mall
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Baskin-Robbins,43.80933662736696,-79.26336804150782,Ice Cream Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Viterna Health Centre,43.81001583057128,-79.26898531284488,Spa
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Cakewood Bakery & Cafe,43.80986005895067,-79.26953031570356,Bakery
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Taco Bell,43.80995233214358,-79.26945772022009,Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,SVP Sports Outlet,43.81017619950153,-79.2696127836144,Sporting Goods Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Tim Hortons,43.798307119130264,-79.27265457808971,Coffee Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Dollarama,43.797983,-79.269679,Discount Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,McDonald's,43.808331321150796,-79.26744273262352,Fast Food Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Soon Tat Supermarket,43.797833531318894,-79.27046066679222,Grocery Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Asian Specialty,43.797819,-79.270737,Vietnamese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,"Regus - Ontario, Toronto - Davisville Centre",43.8096631,-79.2569952,Business Service
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,港島茶餐 Hong Kong Style Tea & Fast Food,43.797794342041016,-79.27088928222656,Hong Kong Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Canton Kitchen 廣東小炒,43.797772,-79.270981,Chinese Restaurant
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Laddi's,43.810394711039145,-79.25750460589335,Salon / Barbershop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,One's Better Living,43.797571524479,-79.27098914613529,Department Store
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,The UPS Store,43.79760486945584,-79.2723103314465,Print Shop
"Agincourt North, Toronto, Canada",43.8054405769,-79.266712166,Real Fruit Bubble Tea 真果茶坊,43.79720805753309,-79.27152312744279,Bubble Tea Shop
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,The Roti Hut,43.78727725968595,-79.25872401779647,Caribbean Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Wonton Chai Noodle 雲吞仔,43.78772222037297,-79.26955187711835,Noodle House
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Congee Me 小米粥鋪,43.787391662597656,-79.26838684082031,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Yummy Cantonese Restaurant 老西関腸粉,43.787567846730724,-79.26958536632105,Cantonese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Asian Legend 味香村,43.78806782493317,-79.26676821861626,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,One2 Snacks,43.787047925304336,-79.27665787813419,Asian Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,The Captain's Boil,43.788100937060236,-79.26508523996,Seafood Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Gourmet Malaysia 膳園,43.7881184598393,-79.26667771236072,Malay Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Francesca Bakery,43.787715953312,-79.25685232939088,Bakery
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Panagio's Breakfast & Lunch,43.79237001092506,-79.26020325805978,Breakfast Spot
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Jesse Jr. (Filipino Foods & Restaurant),43.78756491773208,-79.26880977111882,Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,In Cheon House Korean & Japanese Restaurant 인천관,43.78646767038441,-79.27569314969834,Korean Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Bestco Food Market 鴻華超級市場,43.79651421770191,-79.27078952581387,Supermarket
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,World Gym,43.78457971292356,-79.25532371036591,Gym / Fitness Center
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,TD Canada Trust,43.78848031250697,-79.26940843462944,Bank
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,National Sports,43.78448378936947,-79.25513821936576,Sporting Goods Shop
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Twilight,43.791999483291015,-79.25858447143591,Lounge
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Beef Noodle Restaurant 老李牛肉麵,43.785937477135555,-79.27603076031062,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Le Spot,43.78816172704444,-79.26415672672607,Pool Hall
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Perfect Chinese Restaurant 雅瓊海鮮酒家,43.78777423062292,-79.27029393705004,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Dumpling House 餃子莊,43.787208821092754,-79.26990941663193,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Dragon Centre,43.79140985567744,-79.27208143544222,Shopping Mall
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Borsalino,43.7881209225317,-79.26504908695252,Mediterranean Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Agincourt Recreation Centre,43.791396338935705,-79.2720753942384,Pool
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Shanghai Dim Sum,43.78703615843197,-79.26938030256589,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,El Pulgarcito,43.792647695283875,-79.25920775335268,Latin American Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Congee King,43.78590778606772,-79.27604151758148,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Sushi Legend,43.79660174223094,-79.27029194166151,Sushi Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Centerview square,43.788084748780136,-79.2659358989749,Shopping Mall
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Katsuya,43.788227,-79.26725,Japanese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Better Kitchen,43.788090286148936,-79.26804944195311,Asian Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,The Only Cuisine 西域久保,43.78674606895496,-79.27085430184714,Chinese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Global Imperial Cuisine 國寶軒,43.786719157990575,-79.2743816188499,Cantonese Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Commander Badminton,43.79354608557784,-79.26983515808065,Badminton Court
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Fisherman Villa 褔臨門,43.78710781967966,-79.27593050538756,Hong Kong Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Ding Tai Fung Shanghai Dim Sum 鼎泰豐,43.796615229023466,-79.26984392805066,Shanghai Restaurant
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,Dynasty Centre,43.78678402377117,-79.27694690517586,Shopping Mall
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,大泉港式快餐 Great Fountain Fast Food,43.78683543504715,-79.27740017282075,Food Court
"Agincourt South-Malvern West, Toronto, Canada",43.788657551099995,-79.2656117966,HK Garden 花園餐廳,43.78666922108873,-79.27713800425371,Asian Restaurant
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Il Paesano Pizzeria & Restaurant,43.60128,-79.545028,Pizza Place
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Farm Boy,43.61001249260805,-79.54758144706244,Grocery Store
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Toronto Gymnastics International,43.59983195234328,-79.54292448822379,Gym
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Timothy's Pub,43.60016508568706,-79.54469872722389,Pub
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Dollarama,43.60951042872165,-79.5476856289529,Discount Store
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Morocco House,43.609938,-79.54902,Moroccan Restaurant
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Pizza Pizza,43.60534035117562,-79.54725175609202,Pizza Place
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Tim Hortons,43.60239631505536,-79.5450476557017,Coffee Shop
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Esso,43.612281743555435,-79.54193963327889,Gas Station
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Subway,43.59915224732402,-79.54439458247475,Sandwich Place
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Petro-Canada,43.610323,-79.549414,Gas Station
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Delta Variety,43.603897,-79.536385,Convenience Store
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Rexall,43.601951,-79.545694,Pharmacy
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Brownsline Donuts,43.60785135475217,-79.54806260980605,Donut Shop
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Dollarama,43.608774,-79.547682,Discount Store
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Stay Inn,43.611774,-79.544563,Hotel
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Belgium Variety & Grocery,43.612378166333826,-79.54186214074792,Convenience Store
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,AA Floors & More,43.612508,-79.541168,Construction & Landscaping
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Sav-On Drug Mart,43.60989067411187,-79.54961756159075,Pharmacy
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Pioneer Energy,43.597355,-79.543241,Gas Station
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Evans and Brown's Line,43.60949161578132,-79.55052314089633,Intersection
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Connorvale Park,43.60720054588603,-79.53070170152236,Park
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,Etobicoke Valley Park,43.60193408779726,-79.55229115067102,Park
"Alderwood, Toronto, Canada",43.6049368959,-79.5416109273,StorageMart,43.61336805,-79.5427802,Storage Facility
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Ezra's Pound,43.67515283323029,-79.40585846415303,Café
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Roti Cuisine of India,43.67461834990478,-79.40824866273744,Indian Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Fresh on Bloor,43.66675488472059,-79.40349130034014,Vegetarian / Vegan Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Playa Cabana,43.67611179256714,-79.4012790354265,Mexican Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Big Crow,43.675896076491284,-79.40368028354095,BBQ Joint
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,L'Unita Restaurant,43.674387404879205,-79.39648826123504,Italian Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Mistura,43.67428461619599,-79.398425962694,Italian Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Koerner Hall,43.667983280307865,-79.3959619437764,Concert Hall
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,The Madison Avenue Pub,43.667946944171426,-79.40348638003233,Pub
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Real Thailand Restaurant,43.66655676709821,-79.40465745192407,Thai Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Whole Foods Market,43.671954,-79.395543,Grocery Store
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Fuwa Fuwa Japanese Pancakes,43.66587984725407,-79.40783968911445,Pastry Shop
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Royal Conservatory of Music,43.66822758218325,-79.39631143267306,Music School
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Schmaltz Appetizing,43.673894733822266,-79.41181770211539,Deli / Bodega
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,Joso's,43.67483469176536,-79.39617148340865,Mediterranean Restaurant
"Annex, Toronto, Canada",43.6715854351,-79.4040006243,The Original Gyro Grill,43.66662059602154,-79.40554379665828,Greek Restaurant
